Id,Caption,Price,Description,MediaPath,CategoryId
1,Áo sơ mi xô croptop tay bồng,180000,"Độ mới: 9/10, Dài-ngang: 44-56",1.jpg,1
2,Áo sơ mi xô tay kẻ,160000,phần tay bị dính 1 tí bẩn nhưng ko sao. Độ mới: 9/10. Dài-ngang: 70-57,2.jpg,1
3,"Áo tay bồng, đứng form",180000,"Độ mới: 9/10, Dài-ngang: 53-50",3.jpg,1
4,Áo sơ mi xô kẻ,130000,phần cổ phía trong bị 1 vài vết bẩn nhưng không ảnh hưởng gì,4.jpg,1
5,Áo sơ mi xô cổ V,150000,"Độ mới: 9/10, Dài-ngang: 58-52",5.jpg,1
6,Áo sơ mi xô cổ vest còn cúc dự phòng,110000,"Độ mới: 8/10, Dài-ngang: 57-56",6.jpg,1
7,Quần short khaki màu be,170000,"Độ mới: 8/10, Dài 45 eo 64 mông 102",7.jpg,2
8,Quần ống rộng jean đen,170000,"Độ mới: 9/10, Dài 83 eo 72 mông 108",8.jpg,2
9,Quần short thô be đậm,90000,"Độ mới: 9/10, Dài 42 eo 78 mông 118",9.jpg,2
10,"Quần short linen hiệu, chất hơi xù",100000,"Độ mới: 9/10, Dài 40 eo 64 mông 98",10.jpg,3
11,Chân váy chữ A jean xẻ tà,200000,"Độ mới: 9/10, Dài 66 eo 64 mông 86",11.jpg,2
12,"Quần short kèm dây nịt, màu này có nắng nên sẽ bị ngã sang màu khác 1 tí nhé ạ",150000,"Độ mới: 9/10, Dài 39 eo dưới 76 mông 106",12.jpg,3
13,Chân váy linen,200000,"Độ mới: 9/10, Dài 93 eo 70-92 mông 106",13.jpg,3
14,Áo xô tay bồng chít eo,160000,"Độ mới: 9/10, Dài-ngang: 55-54",14.jpg,1
15,Khoác thô xanh đen form rộng,120000,"Ngực 124 , dài 115",15.jpg,4
16,Váy 2 dây chất xô linen,150000,"Dài 84, ngang ngực 42x2. Mới 99%",16.jpg,3
17,Mũ hoa đội chơi,30000,abc,17.jpg,5
18,Crop ren của Nhật.,50000,"Freesize, ngực bao nhiêu thì nới dây ra bấy nhiêu nhen. Dài 32",18.jpg,1
19,Short Nhật mặc nhà,60000,Eo max 75. Mông 90. Đùi 58. Dài 22,19.jpg,2
20,🔥Ferarri🔥,680000," cond 9+ mới tinh, chất dù lót dù, full detail thêu",20.jpg,4
21,Bucket chất dù có quai ,80000,"phối màu siêu lạ heng, độ mới cao k lỗi gì đâu",21.jpg,1
22,Gu X Undercover Bomber,400000,"NxD 60-64cm, áo mới xink nhe",22.jpg,4
23,Das FEF RETRO SHIRT,280000,Size M(46-69cm) Cổ có đg tưa chỉ như ảnh ,23.jpg,1
24,Stusy Vintage,280000," size M/L (56-63/66cm), vải giống khăn tắm á",24.jpg,1
25,Jackrose x TherollinhStone,900000,tay áo phối da thật nghen,25.jpg,4
26,Nai Vtg 90s,400000," chất vải bóng, quần mới xink, logo thêu căng đét",26.jpg,2
27,Nón bụi dây da khoá đồng,120000,Mlb a’s có tăng giảm,27.jpg,5
28,Bucket jean ,120000,Mới 99%,28.jpg,5
29,Bucket cá sấu bự chà bá luôn,300000,Like new,29.jpg,5
30,Bucket lính vành to đội được 2 mặt,130000,Size 56/58,30.jpg,5
31,"Nón handmade, hàng new",180000,"Freesized, Chất liệu: sợi dệt.  Màu: Be sữa",31.jpg,5
32,Mũ cói đi biển,120000,"Có tăng đơ điều chỉnh vòng đầu • Vòng đầu: 54-58cm (~sz trung bình nữ) • Cond: 9,5/10",32.jpg,5
33,Nón vành rộng,135000,"Có dây dán gai điều chỉnh sz phía trong • Vòng đầu: 55,5cm (~sz trung bình nữ) • Cond: 9,5/10",33.jpg,5
34,Nón 2hand Nhật-Hàn,140000,"Có chun co giãn phía sau • Vòng đầu: 55-58cm (~sz trung bình nữ) • Cond: 9,5/10",34.jpg,5
35,Mũ Nhật-Hàn thêu tay,180000,"• Vòng đầu: 56,5cm (~sz trung bình nữ) • Cond: 9,5/10",35.jpg,5
36,"khoác thô caro nhí dáng rộng, phần cổ áo may nhún xinh lắm, độ mới hoàn hảo",120000,"Ngực 130 , dài 109 - 117",36.jpg,4
37,"Đầm thun dáng suông rộng, tone xám đen, mới tinh tươm",130000,"Ngực 126 , dài 111",37.jpg,3
38,"Khoác be ngả rêu nhẹ, chất mềm mỏng",230000,"Ngực 132, dài 115 - 120",38.jpg,4
39,Khoác xô rêu dáng suông tay lỡ,280000,"Ngực 114 , dài 110",39.jpg,4
40,"Đầm thô rêu nhạt dáng suông, cổ hơi rộng ạ",250000,"Ngực 102, dài 116",40.jpg,3
41," Khoác thô xám dáng rộng, chất gần giống như linen í, siêu xinh, mới tinh tươm",300000,"Ngực 110 , dài 100",41.jpg,4
42,"Chân váy đen chất xô đũi, may ghép vải lạ mắt, có túi bên hông và phía sau",150000,"Eo 64 - 84 , dài 80",42.jpg,3
43," Đầm thô hoạ tiết, cột dây phía sau ạ, cho bạn nào thích hoạ tiết nổi bật nè, độ mới cao nhen",190000,"Ngực 114 , dài 123",43.jpg,3
44," Chân váy xô loang, có lót",150000," Eo < 90 có dây rút , dài 86",44.jpg,3
45,"Quần ống đứng chất kaki mỏng, nàu trầm hơn hình xíu",215000,"Dài 88, eo chun min 64 Ngang đùi 32, ngang ống 24 Mới 99%",45.jpg,2
46,Quần kaki mỏng form baggy,195000,"Dài 88, eo 62 có chun sau Ngang đùi 31, ngang ống 21 Mới 99%",46.jpg,2
47,Quần âu Nhật,155000,"Dài 91, eo 62 có chun sau, ống 33 Mới 99%",47.jpg,2
48,Quần ống rộng Mouth Valley,290000,"Dài 87, eo 60 có chun Ngang ống 40 Mới 99%",48.jpg,2
49,Quần kaki thô mỏng Gu,320000,"Dài 64, eo 62 có chun sau Ngang ống 23 Mới 99%",49.jpg,2
50,Quần lửng thô đũi Chocol Raffine,400000,"Dài 64, eo 62 có chun sau Ngang ống 23 Mới 99%",50.jpg,2